subject,number,title,credits,description,prerequisites,corequisites,contact_hours,pathways
AAD,1004,"Exploring Architecture, Arts, and Design",2,"First-Year Experience course for Explore AAD majors. Overview of the college and its degrees, majors and minors, and career opportunities available to CAUS graduates. Presents college and university resources and services that support student success. Introduces students to the basic principles of the research process by focusing on inquiry, problem-solving, and integration of ideas and experiences within the fields in the College of Architecture, Arts, and Design.",,,"(2 Lec, 2 Crd)",
AAD,1204,Thinking Globally,1,"Seminar for first-year students enrolled in Rhizome Living-Learning Community. Introduction to systems thinking. Simple and complex systems. Systems approach to sustainable development. International perspectives on, and goals for, sustainable development. Considers United Nations Sustainable Development Goals (SDGS), SDGs History, global progress towards SDGs and Criticisms of SDGs and United Nations. Exploration of Rhizome LLC yearly theme.",,,"(1 Lec, 1 Crd)",
AAD,1214,Acting Locally,2,"Course for first-year students enrolled in Rhizome Living-Learning Community. Project-based learning through student-client collaborations. Applies systems thinking concepts and United Nations Sustainable Development Goals. Introduces design thinking as a model for problem solving, including problem definition and iteration. Student presentations, proposal development, exhibition, client feedback and peer critiques.",AAD 1204,,"(2 Lec, 2 Crd)",
AAD,1984,Special Study,1-19,,,,Variable credit course,
AAD,2974,Independent Study,1-19,,,,Variable credit course,
AAD,2984,Special Study,1-19,,,,Variable credit course,
AAD,3900,Bridge Experience,0,"Application of academic knowledge and skills to in a work-based experience aligned with post-graduation goals using research-based learning processes. Satisfactory completion of work-based experience often in the form of internship, undergraduate research, co-op, or study abroad; self-evaluation; reflection; and showcase of learning. Pre: Departmental approval of 3900 plan.",,,(0 Crd),
AAD,3954,Study Abroad,1-19,,,,Variable credit course,
AAD,3974,Independent Study,1-19,,,,Variable credit course,
AAD,3984,Special Study,1-19,,,,Variable credit course,
AAD,3984L,Special Study,1-19,,,,Variable credit course,6D Critique & Prac in Design
AAD,3984M,Special Study,3,,,,"(3 Lec, 3 Crd)",6A Critique & Practice in Arts
